ticket_id,created_at,resolved_at,category,sub_issue,product,channel,status,sentiment,agent_id,resolution_time_mins,first_response_mins,csat_score,priority,resolution_type,escalated,repeat_contact,region,customer_tier,chatbot_handled
TKT-00001,2023-01-26 23:17:00,2023-01-27 01:23:00,Technical,Performance issues,SmartWatch X,App,Resolved,Positive,Agent_014,126,44,5,Low,Refund Issued,No,No,Middle East,Standard,No
TKT-00002,2023-01-07 05:44:00,2023-01-07 09:21:00,Account,Profile update error,SmartWatch X,Email,Resolved,Neutral,Agent_023,217,49,3,Medium,Refund Issued,No,No,Latin America,Standard,Yes
TKT-00003,2024-08-14 06:45:00,,Product,Product defective,Phone Max,Email,Resolved,Neutral,Agent_024,,19,3,Low,Account Updated,No,No,North America,Premium,Yes
TKT-00004,2023-06-17 14:24:00,2023-06-17 16:43:00,Returns,Refund not processed,Smart TV,Email,Resolved,Positive,Agent_021,139,36,5,Medium,Technical Fix Applied,No,No,Asia Pacific,Standard,No
TKT-00005,2023-05-27 08:08:00,2023-05-27 10:15:00,General Inquiry,Feature request,Camera 4K,App,Resolved,Positive,Agent_009,127,48,4,Medium,Technical Fix Applied,No,No,Europe,Premium,No
TKT-00006,2024-09-02 02:24:00,2024-09-02 05:40:00,Complaint,Misleading information given,Laptop Pro,Email,Escalated,Neutral,Agent_018,196,17,4,High,Account Updated,Yes,No,Latin America,Standard,No
TKT-00007,2024-05-27 05:32:00,,Account,Subscription management,Phone Max,Chat,Resolved,Positive,Agent_050,,54,4,Critical,Refund Issued,No,No,North America,Enterprise,No
TKT-00008,2023-09-03 01:15:00,2023-09-03 08:45:00,Account,Two-factor auth problem,SmartWatch X,App,Closed,Positive,Agent_031,450,47,2,Critical,Escalated to Tier 2,No,No,Latin America,Enterprise,No
TKT-00009,2024-12-31 09:25:00,2024-12-31 15:09:00,Returns,Return window expired,SmartWatch X,Chat,Resolved,Neutral,Agent_038,344,34,4,Medium,Information Provided,Yes,No,North America,Standard,No
TKT-00010,2023-03-14 16:15:00,2023-03-14 18:38:00,Product,Setup assistance needed,Router Plus,Chat,Closed,Negative,Agent_013,143,9,3,Low,No Action Needed,No,No,North America,Premium,No
